,Title,Authors,Year
40,B-DAC: A decentralized access control framework on Northbound interface for securing SDN using blockchain,"PT Duy, H Do Hoang, AGT Nguyen, VH Pham",2022
41,An Approach for Service Function Chain Orchestration in Combination with SDN-based Network,"H Do Hoang, PT Duy, NH Khoa, VH Pham",2021
42,A Blockchain-based Secured and Privacy-Preserved Personal Healthcare Record Exchange System,"H Do Hoang, TC Nhut, PDT Quyen, PT Duy, VH Pham",2021
43,Vietnamese facebook posts classification using fine-tuning bert,"DT Tuan, D Van Thin, VH Pham, NLT Nguyen",2020
44,Mitigating flow table overloading attack with controller-based flow filtering strategy in SDN,"PT Duy, LD An, VH Pham",2019
45,Un WOMBAT pour évaluer la cybercriminalité,"C Leita, VH Pham, O Thonnard, M Dacier, E Kirda",2009
46,Leveraging Deep Learning Image Classifiers for Visual Similarity-based Phishing Website Detection,"NB Trinh, TD Phan, VH Pham",2022
47,A Privacy-Preserving Approach For Building Learning Models in Smart Healthcare using Blockchain and Federated Learning,"L Ngan Van, A Hoang Tuan, D Phan The, TK Vo, VH Pham",2022
48,A Method of Mutating Windows Malwares using Reinforcement Learning with Functionality Preservation,"H Do Thi Thu, TD Phan, H Le Anh, L Nguyen Duy, K Nghi Hoang, ...",2022
49,Leveraging Reinforcement Learning and Generative Adversarial Networks to Craft Mutants of Windows Malware against Black-box Malware Detectors,"TD Phan, T Duc Luong, N Hoang Quoc An, Q Nguyen Huu, HK Nghi, ...",2022
50,Federated Intrusion Detection on Non-IID Data for IIoT Networks Using Generative Adversarial Networks and Reinforcement Learning,"NH Quyen, PT Duy, NC Vy, DTT Hien, VH Pham",2022
51,uitXkernel: Android Kernel Forensic for Security Analysis Purposes,"NT Cam, TU Vu, NH Khoa, VH Pham",2022
52,A case study for evaluating learners' behaviors from online cybersecurity training platform on digital forensics subject,"PT Duy, H Do Hoang, NH Khoa, VH Pham",2022
53,Fool Your Enemies: Enable Cyber Deception and Moving Target Defense for Intrusion Detection in SDN,"PT Duy, H Do Hoang, NH Khoa, VH Pham",2022
54,Federated Learning-Based Cyber Threat Hunting for APT Attack Detection in SDN-Enabled Networks,"HT Thi, NDH Son, PT Duv, VH Pham",2022
55,Gather Android Application Information on Google Play for Machine Learning Based Security Analysis,"NT Cam, ANTY Nhi, NV Thinh, NH Khoa, VH Pham",2022
56,Detect repackaged Android applications by using representative graphs,"NT Cam, NH Khoa, TT An, NP Bach, VH Pham",2021
57,FedChain: A Collaborative Framework for Building Artificial Intelligence Models using Blockchain and Federated Learning,"TD Luong, VM Tien, HT Anh, N Van Luyen, NC Vy, PT Duy, VH Pham",2021
58,Forensics analysis of FacePlay application to seek digital artifacts on data ownership and privacy,"DM Trung, NH Khoa, PT Duy, NT Cam, VH Pham",2021
59,Empirical Study on Reconnaissance Attacks in SDN-aware Network for Evaluating Cyber Deception,"H Do Hoang, VH Pham",2021
60,A Deep Transfer Learning Approach for Flow-Based Intrusion Detection in SDN-Enabled Network,"NH Khoa, H Hiep, NB Tuan, HD Hoang, DTT Hien, VH Pham",2021
61,"A survey on Blockchain-based applications for reforming data protection, privacy and security","DT Thu Hien, VH Pham",2020
62,A GFP-based sensor to detect transiently expressed proteins,M Eason,2020
63,An Investigation of Wi-Fi Bufferbloat Using a Wireless Emulator,"TTH Do, TD Ngo, DD Le, H Sekiya, VH Pham, K Nguyen",2019
64,Proposing Automatic Dataset Generation System to Support Android Sensitive Data Leakage Detection Systems,"NT Cam, NH Khoa, LD Thinh, VH Pham, T Nguyen",2019
65,Detect Sensitive Data Leakage via Inter-application on Android by Using Static Analysis and Dynamic Analysis,"NT Cam, VH Pham, T Nguyen",2017
66,Bacterial diversity in root endosphere of wetland rice in Vietnam,"V Pham, H Nguyen, M Tran, D Nguyen, H Rediers, J Vanderleyden, ...",2016
67,Integration of re-active ad-hoc routing daemon into Quagga routing suite for wireless ad-hoc routers,"Q Le-Trung, VH Pham",2014
68,HONEYNETS: FOUNDATIONS FOR THE DEVELOPMENT OF EARLY WARNING,"F Pouget, M Dacier, VH Pham",2005
69,Magnetic Nano Particles for Diagnostics,"KC Nguyen, VH Pham, ST Do, DT Tieu",
70,Magnetic Nano Particles For Automated PCR Diagnostics,"KC Nguyen, ST Do, DT Tieu, VH Pham",
71,Early Warning System based on a distributed honeypot network,"VH Pham, F Pouget, M Dacier",
